Timestamp_002	Field_002	Motor_position_002	Cernox_T_002	RuO2_T_002	S1_X_002	S1_Y_002	S2_X_002	S2_Y_002
1.074586720E-1	3.500032481E+1	5.999850000E+2	1.739800000E+0	1.266800000E+0	7.624539081E-3	7.553481846E-4	1.384165417E-2	-2.592347003E-2
1.538552800E-1	3.500033383E+1	5.999850000E+2	1.739800000E+0	1.266800000E+0	7.614284288E-3	7.533754688E-4	1.384253707E-2	-2.592226863E-2
1.957612170E-1	3.500033383E+1	5.999850000E+2	1.739800000E+0	1.266800000E+0	7.595026400E-3	7.506217226E-4	1.383683737E-2	-2.592522278E-2
2.540019620E-1	3.500029777E+1	5.999850000E+2	1.739800000E+0	1.266800000E+0	7.580645382E-3	7.404769422E-4	1.383389439E-2	-2.592738904E-2
2.951699680E-1	3.500028875E+1	5.999850000E+2	1.739700000E+0	1.266800000E+0	7.560757454E-3	7.281500730E-4	1.383101940E-2	-2.593233623E-2
3.545484730E-1	3.500026171E+1	5.999850000E+2	1.739700000E+0	1.266800000E+0	7.549169939E-3	7.218670216E-4	1.382908877E-2	-2.593467012E-2
3.957041710E-1	3.500029777E+1	5.999850000E+2	1.739700000E+0	1.266800000E+0	7.533973549E-3	7.185710128E-4	1.383011322E-2	-2.593770996E-2
4.546836280E-1	3.500027974E+1	5.999850000E+2	1.739700000E+0	1.266800000E+0	7.518435363E-3	7.187360316E-4	1.383050997E-2	-2.594023012E-2
4.974339990E-1	3.500026171E+1	5.999850000E+2	1.739700000E+0	1.266700000E+0	7.499888074E-3	7.215338410E-4	1.382978261E-2	-2.594139613E-2
5.567644430E-1	3.500027974E+1	5.999850000E+2	1.739700000E+0	1.266700000E+0	7.488051895E-3	7.208650350E-4	1.382816490E-2	-2.594206296E-2
6.042296490E-1	3.500026171E+1	5.999850000E+2	1.739700000E+0	1.266700000E+0	7.481675129E-3	7.244354929E-4	1.382595487E-2	-2.594047226E-2
6.549691080E-1	3.500029777E+1	5.999850000E+2	1.739700000E+0	1.266700000E+0	7.482254412E-3	7.271330687E-4	1.382334810E-2	-2.594005503E-2
6.984151400E-1	3.500027072E+1	5.999850000E+2	1.739700000E+0	1.266700000E+0	7.486955263E-3	7.274434320E-4	1.382327266E-2	-2.594110928E-2
