Timestamp_006	Field_006	Motor_position_006	Cernox_T_006	RuO2_T_006	S1_X_006	S1_Y_006	S2_X_006	S2_Y_006
1.181015400E-1	3.500035185E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.237608708E-3	5.955354427E-4	2.410514513E-3	-2.393636107E-2
1.579834780E-1	3.500036087E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.236397989E-3	5.882517435E-4	2.411685651E-3	-2.393527701E-2
2.002733230E-1	3.500036087E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.229059167E-3	5.867902655E-4	2.415136667E-3	-2.393298410E-2
2.518326480E-1	3.500035185E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.228616789E-3	5.853725597E-4	2.419211436E-3	-2.393141203E-2
2.956349290E-1	3.500035185E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.226552047E-3	5.862042890E-4	2.422393765E-3	-2.393189073E-2
3.511213310E-1	3.500036087E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.226916194E-3	5.872645415E-4	2.424867591E-3	-2.393236198E-2
3.949739180E-1	3.500036087E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.227623068E-3	5.849089939E-4	2.428896027E-3	-2.393120900E-2
4.495664450E-1	3.500034284E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.226588368E-3	5.820857477E-4	2.431435510E-3	-2.392990701E-2
4.985503950E-1	3.500035185E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.226194419E-3	5.832010647E-4	2.432450186E-3	-2.392815612E-2
5.562640620E-1	3.500035185E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.227396756E-3	5.784899695E-4	2.433735644E-3	-2.392652258E-2
5.987780290E-1	3.500034284E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.224876597E-3	5.761245848E-4	2.433703281E-3	-2.392614633E-2
6.541654250E-1	3.500036087E+1	-2.817990000E+3	1.709700000E+0	1.239300000E+0	8.224725723E-3	5.729818950E-4	2.433414338E-3	-2.392615192E-2
6.976341100E-1	3.500035185E+1	-2.817990000E+3	1.709700000E+0	1.239200000E+0	8.218997158E-3	5.706978845E-4	2.433687216E-3	-2.392433770E-2
7.557232420E-1	3.500036988E+1	-2.817990000E+3	1.709700000E+0	1.239200000E+0	8.215421811E-3	5.732743884E-4	2.435473260E-3	-2.392355539E-2
8.066803180E-1	3.500036087E+1	-2.817990000E+3	1.709700000E+0	1.239200000E+0	8.214822039E-3	5.751413992E-4	2.434495836E-3	-2.392366901E-2
8.536706650E-1	3.500036087E+1	-2.817990000E+3	1.709700000E+0	1.239200000E+0	8.212597109E-3	5.786032998E-4	2.434093040E-3	-2.392695658E-2
9.057089290E-1	3.500036087E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.216499351E-3	5.805723485E-4	2.431147499E-3	-2.392674238E-2
9.547960560E-1	3.500035185E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.216641843E-3	5.814036122E-4	2.428004984E-3	-2.392708510E-2
1.000207559E+0	3.500035185E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.216412738E-3	5.871921894E-4	2.425433136E-3	-2.392683923E-2
1.050011678E+0	3.500035185E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.217032067E-3	5.968693295E-4	2.424221486E-3	-2.392713167E-2
1.149176730E+0	3.500033383E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.221178316E-3	5.974954693E-4	2.425203333E-3	-2.392718568E-2
1.192895279E+0	3.500033383E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.226081729E-3	5.901477998E-4	2.426644322E-3	-2.392603271E-2
1.254212111E+0	3.500034284E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.226102218E-3	5.849425797E-4	2.427608939E-3	-2.392832190E-2
1.300344808E+0	3.500034284E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.231296204E-3	5.811239826E-4	2.428424079E-3	-2.392997406E-2
1.354257393E+0	3.500034284E+1	-2.817990000E+3	1.709800000E+0	1.239200000E+0	8.233586326E-3	5.779606290E-4	2.427931176E-3	-2.392956242E-2
