Timestamp_003	Field_003	Motor_position_003	Cernox_T_003	RuO2_T_003	S1_X_003	S1_Y_003	S2_X_003	S2_Y_003
1.076245500E-1	3.500022565E+1	1.054980000E+3	1.800100000E+0	1.335400000E+0	8.591121994E-3	6.334152422E-4	1.304344553E-2	-2.566931211E-2
1.490897950E-1	3.499995522E+1	1.054980000E+3	1.800100000E+0	1.335400000E+0	8.594281040E-3	6.193072186E-4	1.304780226E-2	-2.567056194E-2
1.920803510E-1	3.500011748E+1	1.054980000E+3	1.800100000E+0	1.335400000E+0	8.592396043E-3	6.149226683E-4	1.305112708E-2	-2.567044832E-2
2.342370190E-1	3.500022565E+1	1.054980000E+3	1.800300000E+0	1.335300000E+0	8.594349958E-3	6.114582066E-4	1.305310335E-2	-2.567490935E-2
2.938905350E-1	3.500005438E+1	1.054980000E+3	1.800300000E+0	1.335300000E+0	8.591593243E-3	6.110268878E-4	1.305312850E-2	-2.567785047E-2
3.352166230E-1	3.500008142E+1	1.054980000E+3	1.800300000E+0	1.335300000E+0	8.593781851E-3	6.109804381E-4	1.304875314E-2	-2.568153106E-2
3.926531440E-1	3.499995522E+1	1.054980000E+3	1.800300000E+0	1.335300000E+0	8.593023755E-3	6.117314915E-4	1.304469165E-2	-2.568380907E-2
4.365941210E-1	3.500011748E+1	1.054980000E+3	1.800500000E+0	1.335300000E+0	8.589485660E-3	6.231592270E-4	1.303948928E-2	-2.568410709E-2
4.941953460E-1	3.500008142E+1	1.054980000E+3	1.800500000E+0	1.335300000E+0	8.589799516E-3	6.350821932E-4	1.303779799E-2	-2.568126656E-2
5.353074660E-1	3.500008142E+1	1.054980000E+3	1.800500000E+0	1.335300000E+0	8.591564372E-3	6.454911781E-4	1.303932536E-2	-2.567481436E-2
5.963443310E-1	3.500008142E+1	1.054980000E+3	1.800500000E+0	1.335300000E+0	8.595831692E-3	6.567509845E-4	1.303984970E-2	-2.567236498E-2
6.419969040E-1	3.500001832E+1	1.054980000E+3	1.800600000E+0	1.335200000E+0	8.600947447E-3	6.736672949E-4	1.304199547E-2	-2.566896379E-2
6.961081790E-1	3.500011748E+1	1.054980000E+3	1.800600000E+0	1.335200000E+0	8.604332805E-3	6.887412164E-4	1.304471772E-2	-2.566564456E-2
7.427833530E-1	3.500004536E+1	1.054980000E+3	1.800600000E+0	1.335200000E+0	8.606520481E-3	7.077896153E-4	1.304325741E-2	-2.566298842E-2
7.983969800E-1	3.500001832E+1	1.054980000E+3	1.800600000E+0	1.335200000E+0	8.613464422E-3	7.196089136E-4	1.304181386E-2	-2.566025034E-2
8.419904680E-1	3.500022565E+1	1.054980000E+3	1.800800000E+0	1.335000000E+0	8.620129898E-3	7.321758894E-4	1.303884853E-2	-2.565561235E-2
8.997587060E-1	3.500033383E+1	1.054980000E+3	1.800800000E+0	1.335000000E+0	8.619250730E-3	7.415287546E-4	1.303710323E-2	-2.565072291E-2
9.462993940E-1	3.500004536E+1	1.054980000E+3	1.800800000E+0	1.335000000E+0	8.617789485E-3	7.500026841E-4	1.303826924E-2	-2.564580552E-2
9.952974540E-1	3.500004536E+1	1.054980000E+3	1.800800000E+0	1.335000000E+0	8.615816943E-3	7.604180719E-4	1.304122526E-2	-2.564449422E-2
1.038063092E+0	3.500012649E+1	1.054980000E+3	1.800900000E+0	1.335000000E+0	8.618391119E-3	7.676202222E-4	1.304430980E-2	-2.564651147E-2
1.094582334E+0	3.500005438E+1	1.054980000E+3	1.800900000E+0	1.335000000E+0	8.615898900E-3	7.648784667E-4	1.304751914E-2	-2.564681508E-2
1.138398796E+0	3.500009044E+1	1.054980000E+3	1.800900000E+0	1.335000000E+0	8.617795073E-3	7.627565064E-4	1.304944139E-2	-2.564480342E-2
1.193764945E+0	3.500017157E+1	1.054980000E+3	1.800900000E+0	1.335000000E+0	8.613248356E-3	7.461704663E-4	1.305091288E-2	-2.564118244E-2
1.239342142E+0	3.500009945E+1	1.054980000E+3	1.801000000E+0	1.335000000E+0	8.605844341E-3	7.308200002E-4	1.304997690E-2	-2.563686110E-2
1.292909108E+0	3.500011748E+1	1.054980000E+3	1.801000000E+0	1.335000000E+0	8.602020331E-3	7.195632788E-4	1.304688305E-2	-2.563532628E-2
1.338430229E+0	3.500012649E+1	1.054980000E+3	1.801000000E+0	1.335000000E+0	8.599457331E-3	7.039076299E-4	1.304565277E-2	-2.563335374E-2
1.392895498E+0	3.500011748E+1	1.054980000E+3	1.801000000E+0	1.335000000E+0	8.597694337E-3	6.925014895E-4	1.304523554E-2	-2.563400380E-2
1.436523369E+0	3.500010846E+1	1.054980000E+3	1.801100000E+0	1.334900000E+0	8.601756766E-3	6.737640942E-4	1.304369886E-2	-2.563561313E-2
1.498508503E+0	3.500010846E+1	1.054980000E+3	1.801100000E+0	1.334900000E+0	8.610024117E-3	6.605429226E-4	1.304269489E-2	-2.563735656E-2
1.544753594E+0	3.500010846E+1	1.054980000E+3	1.801100000E+0	1.334900000E+0	8.622715250E-3	6.573295686E-4	1.304109115E-2	-2.563779987E-2
1.594236835E+0	3.500011748E+1	1.054980000E+3	1.801100000E+0	1.334900000E+0	8.640899323E-3	6.531262188E-4	1.303722989E-2	-2.563708462E-2
1.637248494E+0	3.500011748E+1	1.054980000E+3	1.801200000E+0	1.334800000E+0	8.647263050E-3	6.468995707E-4	1.303523965E-2	-2.564103901E-2
1.692225283E+0	3.500012649E+1	1.054980000E+3	1.801200000E+0	1.334800000E+0	8.652465418E-3	6.514125271E-4	1.303476281E-2	-2.564729191E-2
1.738611369E+0	3.500012649E+1	1.054980000E+3	1.801200000E+0	1.334800000E+0	8.657969534E-3	6.529751699E-4	1.303921361E-2	-2.565737627E-2
1.796721555E+0	3.500014452E+1	1.054980000E+3	1.801200000E+0	1.334800000E+0	8.659769781E-3	6.551890401E-4	1.304109581E-2	-2.566801384E-2
1.839780880E+0	3.500014452E+1	1.054980000E+3	1.801300000E+0	1.334700000E+0	8.661158383E-3	6.505994825E-4	1.304221619E-2	-2.567850053E-2
1.893935352E+0	3.500014452E+1	1.054980000E+3	1.801300000E+0	1.334700000E+0	8.658512496E-3	6.426784094E-4	1.304238290E-2	-2.568480186E-2
1.939731956E+0	3.500014452E+1	1.054980000E+3	1.801300000E+0	1.334700000E+0	8.657521568E-3	6.330710021E-4	1.304180082E-2	-2.568987012E-2
1.993362965E+0	3.500015354E+1	1.054980000E+3	1.801300000E+0	1.334700000E+0	8.659953251E-3	6.250844453E-4	1.304230373E-2	-2.569397725E-2
2.037069236E+0	3.500014452E+1	1.054980000E+3	1.801300000E+0	1.334500000E+0	8.662095293E-3	6.231325097E-4	1.304349303E-2	-2.569907717E-2
2.095077442E+0	3.500016255E+1	1.054980000E+3	1.801300000E+0	1.334500000E+0	8.667431772E-3	6.262348033E-4	1.304623671E-2	-2.570160292E-2
2.139214383E+0	3.500015354E+1	1.054980000E+3	1.801300000E+0	1.334500000E+0	8.663957007E-3	6.228100392E-4	1.304987725E-2	-2.570432238E-2
2.192461802E+0	3.500012649E+1	1.054980000E+3	1.801300000E+0	1.334500000E+0	8.662958629E-3	6.232126034E-4	1.305515971E-2	-2.570348978E-2
2.241918826E+0	3.500013551E+1	1.054980000E+3	1.801400000E+0	1.334400000E+0	8.664350957E-3	6.208978011E-4	1.306059957E-2	-2.570608258E-2
2.305249169E+0	3.500014452E+1	1.054980000E+3	1.801400000E+0	1.334400000E+0	8.668017574E-3	6.217155024E-4	1.306101587E-2	-2.571112849E-2
2.349957787E+0	3.500013551E+1	1.054980000E+3	1.801400000E+0	1.334400000E+0	8.668969385E-3	6.242745440E-4	1.306251902E-2	-2.571702935E-2
2.399472151E+0	3.500012649E+1	1.054980000E+3	1.801400000E+0	1.334400000E+0	8.668674156E-3	6.217889604E-4	1.306413300E-2	-2.572324872E-2
2.444906678E+0	3.500013551E+1	1.054980000E+3	1.801400000E+0	1.334300000E+0	8.660091087E-3	6.196564646E-4	1.306538750E-2	-2.572882175E-2
2.495150645E+0	3.500012649E+1	1.054980000E+3	1.801400000E+0	1.334300000E+0	8.656986058E-3	6.166743115E-4	1.306444406E-2	-2.573264576E-2
2.539535555E+0	3.500012649E+1	1.054980000E+3	1.801400000E+0	1.334300000E+0	8.652537130E-3	6.163782091E-4	1.305819955E-2	-2.573767304E-2
2.595586492E+0	3.500012649E+1	1.054980000E+3	1.801400000E+0	1.334300000E+0	8.645691909E-3	6.190167624E-4	1.305507589E-2	-2.574441209E-2
2.640846295E+0	3.500012649E+1	1.054980000E+3	1.801500000E+0	1.334200000E+0	8.640037849E-3	6.289991434E-4	1.305197086E-2	-2.575176023E-2
2.692701270E+0	3.500012649E+1	1.054980000E+3	1.801500000E+0	1.334200000E+0	8.639781736E-3	6.304455455E-4	1.305068936E-2	-2.575804107E-2
2.738074517E+0	3.500013551E+1	1.054980000E+3	1.801500000E+0	1.334200000E+0	8.632882498E-3	6.270267768E-4	1.304850262E-2	-2.576138079E-2
2.793752449E+0	3.500012649E+1	1.054980000E+3	1.801500000E+0	1.334200000E+0	8.630655706E-3	6.215737085E-4	1.304739714E-2	-2.576239221E-2
2.841399232E+0	3.500012649E+1	1.054980000E+3	1.801500000E+0	1.334100000E+0	8.618485182E-3	6.200558855E-4	1.304936130E-2	-2.576705813E-2
2.895627844E+0	3.500013551E+1	1.054980000E+3	1.801500000E+0	1.334100000E+0	8.612400852E-3	6.248447462E-4	1.305180695E-2	-2.577196062E-2
2.937783063E+0	3.500012649E+1	1.054980000E+3	1.801500000E+0	1.334100000E+0	8.615653031E-3	6.258757203E-4	1.305721700E-2	-2.577731386E-2
2.993580129E+0	3.500011748E+1	1.054980000E+3	1.801500000E+0	1.334100000E+0	8.620097302E-3	6.243084208E-4	1.306094509E-2	-2.577909268E-2
3.035796010E+0	3.500010846E+1	1.054980000E+3	1.801600000E+0	1.334000000E+0	8.626173250E-3	6.268517464E-4	1.306413021E-2	-2.577632479E-2
3.100350316E+0	3.500010846E+1	1.054980000E+3	1.801600000E+0	1.334000000E+0	8.634372614E-3	6.319282693E-4	1.306635421E-2	-2.577259019E-2
3.144887310E+0	3.500011748E+1	1.054980000E+3	1.801600000E+0	1.334000000E+0	8.631960489E-3	6.362244021E-4	1.306773629E-2	-2.576849423E-2
3.191030192E+0	3.500011748E+1	1.054980000E+3	1.801600000E+0	1.334000000E+0	8.629596792E-3	6.353078061E-4	1.306999661E-2	-2.576061152E-2
3.243395738E+0	3.500012649E+1	1.054980000E+3	1.801600000E+0	1.333900000E+0	8.627802134E-3	6.361893029E-4	1.307105180E-2	-2.575190365E-2
3.295296367E+0	3.500011748E+1	1.054980000E+3	1.801600000E+0	1.333900000E+0	8.630255237E-3	6.428760826E-4	1.307205390E-2	-2.574273013E-2
3.341495361E+0	3.500010846E+1	1.054980000E+3	1.801600000E+0	1.333900000E+0	8.634786121E-3	6.495324778E-4	1.307071280E-2	-2.573504858E-2
3.396917940E+0	3.500010846E+1	1.054980000E+3	1.801600000E+0	1.333900000E+0	8.631027304E-3	6.520109018E-4	1.306795981E-2	-2.572922222E-2
3.443342939E+0	3.500010846E+1	1.054980000E+3	1.801700000E+0	1.333800000E+0	8.627663366E-3	6.615497987E-4	1.306468248E-2	-2.572355233E-2
3.495018869E+0	3.500010846E+1	1.054980000E+3	1.801700000E+0	1.333800000E+0	8.624448441E-3	6.615896127E-4	1.306053251E-2	-2.571692131E-2
3.542297581E+0	3.500011748E+1	1.054980000E+3	1.801700000E+0	1.333800000E+0	8.619248867E-3	6.644458626E-4	1.305698883E-2	-2.570763044E-2
3.594662392E+0	3.500012649E+1	1.054980000E+3	1.801700000E+0	1.333800000E+0	8.619743399E-3	6.651394069E-4	1.305306889E-2	-2.570135333E-2
3.647681442E+0	3.500012649E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.609584533E-3	6.648658891E-4	1.305166539E-2	-2.569758333E-2
3.693812778E+0	3.500012649E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.606269956E-3	6.659936043E-4	1.304864790E-2	-2.569129877E-2
3.738981915E+0	3.500013551E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.610061370E-3	6.651690346E-4	1.304401923E-2	-2.568400279E-2
3.795328808E+0	3.500014452E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.603107184E-3	6.631743745E-4	1.304155588E-2	-2.568135597E-2
3.837375674E+0	3.500013551E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.602241985E-3	6.618855405E-4	1.303996611E-2	-2.568132058E-2
3.899486119E+0	3.500015354E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.603322320E-3	6.549559766E-4	1.303851605E-2	-2.568291686E-2
3.941522884E+0	3.500015354E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.599743247E-3	6.512242253E-4	1.303476002E-2	-2.568830922E-2
3.995757136E+0	3.500016255E+1	1.054980000E+3	1.801800000E+0	1.333600000E+0	8.598980494E-3	6.485697813E-4	1.303113997E-2	-2.569124475E-2
4.041740352E+0	3.500017157E+1	1.054980000E+3	1.801900000E+0	1.333500000E+0	8.598618209E-3	6.483573234E-4	1.302775275E-2	-2.569586597E-2
4.093973841E+0	3.500017157E+1	1.054980000E+3	1.801900000E+0	1.333500000E+0	8.600153960E-3	6.580867921E-4	1.302828081E-2	-2.569957636E-2
4.137392872E+0	3.500016255E+1	1.054980000E+3	1.801900000E+0	1.333500000E+0	8.611696772E-3	6.615933380E-4	1.302779373E-2	-2.570545115E-2
4.190898367E+0	3.500015354E+1	1.054980000E+3	1.801900000E+0	1.333500000E+0	8.612232283E-3	6.662704400E-4	1.302814670E-2	-2.571373992E-2
4.235548881E+0	3.500015354E+1	1.054980000E+3	1.801900000E+0	1.333400000E+0	8.615968749E-3	6.718395743E-4	1.302641071E-2	-2.572308853E-2
4.300057440E+0	3.500016255E+1	1.054980000E+3	1.801900000E+0	1.333400000E+0	8.614497259E-3	6.744921557E-4	1.302394271E-2	-2.572770417E-2
4.342426707E+0	3.500016255E+1	1.054980000E+3	1.801900000E+0	1.333400000E+0	8.616214618E-3	6.744823768E-4	1.302266587E-2	-2.573266067E-2
4.393351773E+0	3.500016255E+1	1.054980000E+3	1.801900000E+0	1.333400000E+0	8.619304746E-3	6.743976264E-4	1.302289125E-2	-2.573855780E-2
4.438764263E+0	3.500014452E+1	1.054980000E+3	1.802000000E+0	1.333300000E+0	8.614489809E-3	6.659128121E-4	1.302231848E-2	-2.574358322E-2
4.497171845E+0	3.500014452E+1	1.054980000E+3	1.802000000E+0	1.333300000E+0	8.618053980E-3	6.653860328E-4	1.302031614E-2	-2.574198507E-2
4.539331609E+0	3.500012649E+1	1.054980000E+3	1.802000000E+0	1.333300000E+0	8.618865162E-3	6.644346868E-4	1.302127819E-2	-2.573614381E-2
4.594576571E+0	3.500012649E+1	1.054980000E+3	1.802000000E+0	1.333300000E+0	8.622215129E-3	6.658636266E-4	1.302216481E-2	-2.573249303E-2
4.640409197E+0	3.500012649E+1	1.054980000E+3	1.802100000E+0	1.333200000E+0	8.627323434E-3	6.697227946E-4	1.302397437E-2	-2.572997287E-2
4.695450973E+0	3.500012649E+1	1.054980000E+3	1.802100000E+0	1.333200000E+0	8.627962321E-3	6.679856451E-4	1.302396972E-2	-2.572689019E-2
4.741813417E+0	3.500012649E+1	1.054980000E+3	1.802100000E+0	1.333200000E+0	8.623908274E-3	6.704020197E-4	1.302293222E-2	-2.572268620E-2
4.796423555E+0	3.500011748E+1	1.054980000E+3	1.802100000E+0	1.333200000E+0	8.621833287E-3	6.735931383E-4	1.302427333E-2	-2.571939863E-2
4.843527284E+0	3.500011748E+1	1.054980000E+3	1.802100000E+0	1.333100000E+0	8.615696803E-3	6.741498946E-4	1.302761864E-2	-2.571497299E-2
4.897881085E+0	3.500011748E+1	1.054980000E+3	1.802100000E+0	1.333100000E+0	8.619254455E-3	6.734345807E-4	1.303031947E-2	-2.571162023E-2
4.940069935E+0	3.500011748E+1	1.054980000E+3	1.802100000E+0	1.333100000E+0	8.622711524E-3	6.756028161E-4	1.303523965E-2	-2.570608817E-2
4.994023829E+0	3.500013551E+1	1.054980000E+3	1.802100000E+0	1.333100000E+0	8.625931106E-3	6.763435667E-4	1.303713676E-2	-2.570028976E-2
5.035389183E+0	3.500013551E+1	1.054980000E+3	1.802100000E+0	1.333000000E+0	8.635250851E-3	6.750817993E-4	1.303824317E-2	-2.569353022E-2
5.097865496E+0	3.500011748E+1	1.054980000E+3	1.802100000E+0	1.333000000E+0	8.644471876E-3	6.706336862E-4	1.303986181E-2	-2.568803169E-2
5.143788896E+0	3.500010846E+1	1.054980000E+3	1.802100000E+0	1.333000000E+0	8.645723574E-3	6.701502716E-4	1.304166298E-2	-2.568290010E-2
