Timestamp_003	Field_003	Motor_position_003	Cernox_T_003	RuO2_T_003	S1_X_003	S1_Y_003	S2_X_003	S2_Y_003
1.366413380E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.761936799E-3	6.251334562E-4	7.920627482E-3	-2.399460599E-2
1.794223010E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.757769130E-3	6.180098280E-4	7.921229117E-3	-2.399438806E-2
2.353374040E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.759996854E-3	6.153669674E-4	7.922212593E-3	-2.399451658E-2
2.763210600E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.765805513E-3	6.090616807E-4	7.924563251E-3	-2.399395965E-2
3.339297500E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.766384795E-3	6.088473019E-4	7.925629616E-3	-2.399437316E-2
3.737892040E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247800000E+0	8.773431182E-3	6.081599859E-4	7.927007973E-3	-2.399398945E-2
4.350802350E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247800000E+0	8.776511066E-3	6.081732572E-4	7.927200757E-3	-2.399359644E-2
4.792410090E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247800000E+0	8.780083619E-3	6.076293648E-4	7.928634994E-3	-2.399367280E-2
5.313828630E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247800000E+0	8.778776042E-3	6.055246922E-4	7.928386331E-3	-2.399318479E-2
5.730338380E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.773214184E-3	6.048913929E-4	7.928839885E-3	-2.399425209E-2
6.370091610E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.770747110E-3	6.067024078E-4	7.926999591E-3	-2.399380691E-2
6.875132700E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.768648840E-3	6.009707577E-4	7.926864549E-3	-2.399377711E-2
7.303239580E-1	-3.500055919E+1	-1.222020000E+3	1.718900000E+0	1.247900000E+0	8.764303289E-3	5.982503062E-4	7.925497368E-3	-2.399347909E-2
