Field_001	Motor_001	Timestamp_001	Sample1_X_001	Sample1_Y_001	Sample2_X_001	Sample2_Y_001	Sample_T_001
-3.499974789E+1	-4.559850000E+2	4.003327101E-2	9.954989655E-4	1.343194046E-3	2.532476094E-3	7.436886081E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	7.365095500E-2	9.969153907E-4	1.340870396E-3	2.532240003E-3	7.438045577E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	1.070291020E-1	9.982198244E-4	1.338600880E-3	2.531940816E-3	7.440233603E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	1.441484640E-1	9.994759457E-4	1.336232177E-3	2.531601815E-3	7.443406503E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	1.811191500E-1	1.000665943E-3	1.333723078E-3	2.531254897E-3	7.447532262E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	2.213800930E-1	1.001519035E-3	1.331663690E-3	2.530950354E-3	7.452179561E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	2.656089670E-1	1.002434175E-3	1.329024089E-3	2.530596452E-3	7.458790787E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	2.995233050E-1	1.002937555E-3	1.327232574E-3	2.530307742E-3	7.465892122E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	3.395745880E-1	1.003518584E-3	1.324538374E-3	2.530058613E-3	7.473778096E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	3.808394100E-1	1.003831858E-3	1.322475728E-3	2.529905178E-3	7.480497588E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	4.140109830E-1	1.004018239E-3	1.320749870E-3	2.529787598E-3	7.487789844E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	4.644286450E-1	1.004211255E-3	1.317829825E-3	2.529657213E-3	7.499438361E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	4.997749940E-1	1.004280639E-3	1.315966249E-3	2.529595979E-3	7.507761475E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	5.372235410E-1	1.004332094E-3	1.314081834E-3	2.529536374E-3	7.514751633E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	5.709742770E-1	1.004385995E-3	1.312226872E-3	2.529456513E-3	7.522029919E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	6.081733000E-1	1.004475867E-3	1.310200431E-3	2.529333578E-3	7.530166768E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	6.662478090E-1	1.004713587E-3	1.307393075E-3	2.529151039E-3	7.538503851E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	7.051817230E-1	1.004988677E-3	1.305531943E-3	2.529029502E-3	7.543378742E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	7.414209630E-1	1.005329541E-3	1.303941011E-3	2.528910991E-3	7.547417190E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	7.745757180E-1	1.005770406E-3	1.302430406E-3	2.528783400E-3	7.551377057E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	8.123527530E-1	1.006345148E-3	1.300943317E-3	2.528645098E-3	7.555024931E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	8.660183720E-1	1.007330720E-3	1.299060881E-3	2.528415527E-3	7.559274091E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	9.008960670E-1	1.008141786E-3	1.297872048E-3	2.528220648E-3	7.562231622E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	9.367547760E-1	1.009137370E-3	1.296681235E-3	2.527962904E-3	7.565665874E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	9.920608250E-1	1.010796521E-3	1.295108930E-3	2.527642995E-3	7.570266607E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	1.029611231E+0	1.011893037E-3	1.294252928E-3	2.527429489E-3	7.573811454E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	1.065901268E+0	1.013077912E-3	1.293436741E-3	2.527245320E-3	7.577350480E-4	1.827000000E+0
-3.499974789E+1	-4.559850000E+2	1.102491380E+0	1.014221809E-3	1.292723115E-3	2.527101664E-3	7.580684614E-4	1.827000000E+0
-3.499983803E+1	-4.559850000E+2	1.137619343E+0	1.015456743E-3	1.292006113E-3	2.526941011E-3	7.584635750E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.180844408E+0	1.016669557E-3	1.291328226E-3	2.526829485E-3	7.587991422E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.216812323E+0	1.017687726E-3	1.290757558E-3	2.526738914E-3	7.591432077E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.266154016E+0	1.019034884E-3	1.289954409E-3	2.526678378E-3	7.595318602E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.302235114E+0	1.019766787E-3	1.289460226E-3	2.526683733E-3	7.597788354E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.335085538E+0	1.020407071E-3	1.288954401E-3	2.526723314E-3	7.600183599E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.372243282E+0	1.020906726E-3	1.288459287E-3	2.526800381E-3	7.601915859E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.409516995E+0	1.021284494E-3	1.287930063E-3	2.526887925E-3	7.603110280E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.446590446E+0	1.021474367E-3	1.287459512E-3	2.526965458E-3	7.603604463E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.484743947E+0	1.021515694E-3	1.286954503E-3	2.527029719E-3	7.603487465E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.521328369E+0	1.021400676E-3	1.286506886E-3	2.527053934E-3	7.602768019E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.566888193E+0	1.021058415E-3	1.285980339E-3	2.527006436E-3	7.601228426E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.606168083E+0	1.020666328E-3	1.285621431E-3	2.526882337E-3	7.599658566E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.644334049E+0	1.020153519E-3	1.285297796E-3	2.526669065E-3	7.597752265E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.695193229E+0	1.019367599E-3	1.284976490E-3	2.526240190E-3	7.594734780E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.746513217E+0	1.018579467E-3	1.284804544E-3	2.525734482E-3	7.591823814E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.809390236E+0	1.017587958E-3	1.284777885E-3	2.524987329E-3	7.587884320E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.843528409E+0	1.017033588E-3	1.284861704E-3	2.524523763E-3	7.585343555E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.881459599E+0	1.016538707E-3	1.285005594E-3	2.524115145E-3	7.582899998E-4	1.826900000E+0
-3.499983803E+1	-4.559850000E+2	1.916614679E+0	1.016082126E-3	1.285204897E-3	2.523668576E-3	7.580022211E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	1.966356736E+0	1.015508315E-3	1.285556122E-3	2.523012459E-3	7.575177006E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	2.002175852E+0	1.015103422E-3	1.285870327E-3	2.522472991E-3	7.571061724E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	2.040549028E+0	1.014717855E-3	1.286205021E-3	2.521861810E-3	7.566311979E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.081891875E+0	1.014369191E-3	1.286510727E-3	2.521271119E-3	7.561718230E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.118949328E+0	1.013994450E-3	1.286806190E-3	2.520617563E-3	7.556715282E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.166308039E+0	1.013497589E-3	1.287095249E-3	2.519771457E-3	7.550076116E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.202795425E+0	1.013135305E-3	1.287218998E-3	2.519120462E-3	7.545006811E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	2.237199408E+0	1.012730179E-3	1.287275110E-3	2.518518129E-3	7.540207007E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	2.270174105E+0	1.012241002E-3	1.287243213E-3	2.517858753E-3	7.534730248E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	2.305722875E+0	1.011728891E-3	1.287112711E-3	2.517270623E-3	7.529744180E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	2.343477073E+0	1.011149026E-3	1.286866725E-3	2.516694833E-3	7.524560206E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.381540006E+0	1.010531792E-3	1.286508865E-3	2.516170964E-3	7.519549108E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.418139961E+0	1.009918866E-3	1.286065904E-3	2.515707165E-3	7.514840108E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.466282440E+0	1.008952153E-3	1.285198610E-3	2.515074797E-3	7.507388946E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.507652018E+0	1.008322812E-3	1.284515369E-3	2.514688065E-3	7.502267254E-4	1.826800000E+0
-3.499974789E+1	-4.559850000E+2	2.544959495E+0	1.007758663E-3	1.283805934E-3	2.514322754E-3	7.496897597E-4	1.826800000E+0
-3.499983803E+1	-4.559850000E+2	2.582064816E+0	1.007195213E-3	1.282971702E-3	2.513973741E-3	7.491420838E-4	1.826800000E+0
