Field_	Motor_	Timestamp_	Sample1_X_	Sample1_Y_	Sample2_X_	Sample2_Y_	Sample_T_
3.499982000E+1	0.000000000E+0	4.726395800E-2	9.621002246E-4	1.584131038E-3	1.525902888E-3	1.859240816E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	1.023357210E-1	9.626704850E-4	1.583105884E-3	1.526191249E-3	1.859503100E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	1.388360970E-1	9.631276480E-4	1.582456520E-3	1.526467968E-3	1.859692042E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	1.815182680E-1	9.637366165E-4	1.581760007E-3	1.526693231E-3	1.859794254E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.163746540E-1	9.643000085E-4	1.581248594E-3	1.526991953E-3	1.859883079E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	2.542660960E-1	9.649540880E-4	1.580781885E-3	1.527271583E-3	1.859932789E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	3.017747270E-1	9.658199851E-4	1.580334851E-3	1.527685905E-3	1.859946409E-3	1.755800000E+0
3.499982902E+1	0.000000000E+0	3.346592960E-1	9.664976387E-4	1.580099575E-3	1.528045163E-3	1.859943848E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	3.722963870E-1	9.672436863E-4	1.579942415E-3	1.528443070E-3	1.859929180E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	4.098086070E-1	9.679139475E-4	1.579885255E-3	1.528818859E-3	1.859924174E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	4.492607690E-1	9.685990517E-4	1.579907373E-3	1.529125380E-3	1.859935583E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	4.806207940E-1	9.691261221E-4	1.579981530E-3	1.529367524E-3	1.859953394E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	5.137271420E-1	9.696652414E-4	1.580115641E-3	1.529596979E-3	1.859998098E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	5.488591620E-1	9.701684467E-4	1.580308890E-3	1.529756584E-3	1.860070159E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	6.016240990E-1	9.706676356E-4	1.580610871E-3	1.529867644E-3	1.860180288E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	6.388269280E-1	9.709013975E-4	1.580849988E-3	1.529878587E-3	1.860314864E-3	1.755800000E+0
3.499982000E+1	0.000000000E+0	7.025133830E-1	9.710006416E-4	1.581286779E-3	1.529744244E-3	1.860495075E-3	1.755800000E+0
