Field_001	Motor_001	Timestamp_001	Sample1_X_001	Sample1_Y_001	Sample2_X_001	Sample2_Y_001	Sample_T_001
3.499965774E+1	4.104000000E+3	4.031710600E-2	5.906272563E-4	-1.085444936E-3	1.274501206E-3	4.629071336E-3	1.771800000E+0
3.499966676E+1	4.104000000E+3	7.381121300E-2	5.904602585E-4	-1.085327472E-3	1.274387818E-3	4.629034083E-3	1.771800000E+0
3.499967577E+1	4.104000000E+3	1.103385790E-1	5.901333643E-4	-1.085083117E-3	1.274339971E-3	4.628987983E-3	1.771800000E+0
3.499966676E+1	4.104000000E+3	1.558728490E-1	5.897724768E-4	-1.084810239E-3	1.274380833E-3	4.628938157E-3	1.771800000E+0
3.499966676E+1	4.104000000E+3	2.042857300E-1	5.892360932E-4	-1.084407675E-3	1.274482580E-3	4.628842231E-3	1.771800000E+0
3.499967577E+1	4.104000000E+3	2.394311250E-1	5.888406304E-4	-1.084115356E-3	1.274598995E-3	4.628723022E-3	1.771800000E+0
3.499967577E+1	4.104000000E+3	2.733052740E-1	5.884109996E-4	-1.083803480E-3	1.274725306E-3	4.628573079E-3	1.771800000E+0
3.499964873E+1	4.104000000E+3	3.114515520E-1	5.880275276E-4	-1.083531068E-3	1.274823328E-3	4.628393333E-3	1.771800000E+0
3.499964873E+1	4.104000000E+3	3.472126990E-1	5.876927171E-4	-1.083298470E-3	1.274891780E-3	4.628192168E-3	1.771800000E+0
3.499963971E+1	4.104000000E+3	3.807633230E-1	5.874268827E-4	-1.083117560E-3	1.274903538E-3	4.627995659E-3	1.771800000E+0
3.499963971E+1	4.104000000E+3	4.143928500E-1	5.872639595E-4	-1.083008130E-3	1.274860813E-3	4.627791699E-3	1.771800000E+0
3.499964873E+1	4.104000000E+3	4.487206210E-1	5.871750181E-4	-1.082946546E-3	1.274768962E-3	4.627581686E-3	1.771800000E+0
3.499965774E+1	4.104000000E+3	4.812805160E-1	5.871897447E-4	-1.082949457E-3	1.274627284E-3	4.627376795E-3	1.771800000E+0
3.499965774E+1	4.104000000E+3	5.143695910E-1	5.873195478E-4	-1.083017676E-3	1.274445211E-3	4.627151880E-3	1.771800000E+0
3.499966676E+1	4.104000000E+3	5.505387300E-1	5.875729257E-4	-1.083151554E-3	1.274215523E-3	4.626885988E-3	1.771800000E+0
3.499966676E+1	4.104000000E+3	6.053151930E-1	5.882341647E-4	-1.083490904E-3	1.273837639E-3	4.626469687E-3	1.771800000E+0
3.499965774E+1	4.104000000E+3	6.457960040E-1	5.888662417E-4	-1.083803712E-3	1.273628441E-3	4.626222886E-3	1.771800000E+0
3.499965774E+1	4.104000000E+3	6.802430820E-1	5.895367358E-4	-1.084126765E-3	1.273357542E-3	4.625889007E-3	1.771900000E+0
3.499966676E+1	4.104000000E+3	7.213660720E-1	5.904544960E-4	-1.084560645E-3	1.273151953E-3	4.625572823E-3	1.771900000E+0
3.499966676E+1	4.104000000E+3	7.612989680E-1	5.913177738E-4	-1.084965770E-3	1.273000496E-3	4.625264090E-3	1.771900000E+0
3.499966676E+1	4.104000000E+3	8.049052490E-1	5.924213328E-4	-1.085489523E-3	1.272910507E-3	4.624969326E-3	1.771900000E+0
3.499968478E+1	4.104000000E+3	8.399413790E-1	5.932920612E-4	-1.085917931E-3	1.272909576E-3	4.624715541E-3	1.771900000E+0
3.499968478E+1	4.104000000E+3	8.833742910E-1	5.942803691E-4	-1.086435979E-3	1.272962545E-3	4.624553956E-3	1.771900000E+0
3.499969380E+1	4.104000000E+3	9.182986160E-1	5.950854393E-4	-1.086900360E-3	1.273087109E-3	4.624419380E-3	1.771900000E+0
3.499969380E+1	4.104000000E+3	9.544941210E-1	5.958291586E-4	-1.087385113E-3	1.273262897E-3	4.624347668E-3	1.771900000E+0
3.499970281E+1	4.104000000E+3	1.024706239E+0	5.971015780E-4	-1.088454737E-3	1.273861155E-3	4.624306690E-3	1.771900000E+0
3.499970281E+1	4.104000000E+3	1.059457610E+0	5.975837121E-4	-1.089020865E-3	1.274234965E-3	4.624350928E-3	1.771900000E+0
3.499970281E+1	4.104000000E+3	1.104692346E+0	5.980769638E-4	-1.089816797E-3	1.274872222E-3	4.624481779E-3	1.771900000E+0
3.499969380E+1	4.104000000E+3	1.147007021E+0	5.983954761E-4	-1.090597943E-3	1.275534742E-3	4.624684807E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.204932143E+0	5.986586329E-4	-1.091759652E-3	1.276446972E-3	4.625040572E-3	1.772000000E+0
3.499971183E+1	4.104000000E+3	1.250521103E+0	5.987429177E-4	-1.092491904E-3	1.277057687E-3	4.625312984E-3	1.772000000E+0
3.499971183E+1	4.104000000E+3	1.304514378E+0	5.988158518E-4	-1.093460131E-3	1.277960953E-3	4.625746980E-3	1.772000000E+0
3.499972084E+1	4.104000000E+3	1.342766953E+0	5.988718476E-4	-1.094039762E-3	1.278449665E-3	4.626003094E-3	1.772000000E+0
3.499971183E+1	4.104000000E+3	1.376342078E+0	5.989568890E-4	-1.094512292E-3	1.278903335E-3	4.626287613E-3	1.772000000E+0
3.499970281E+1	4.104000000E+3	1.414475248E+0	5.991002545E-4	-1.094895531E-3	1.279269694E-3	4.626580514E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.450732922E+0	5.993065424E-4	-1.095130807E-3	1.279553166E-3	4.626917187E-3	1.772000000E+0
3.499968478E+1	4.104000000E+3	1.505265190E+0	5.998101551E-4	-1.095187385E-3	1.279809163E-3	4.627478775E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.544645970E+0	6.002992741E-4	-1.094959327E-3	1.279894030E-3	4.627878778E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.583125476E+0	6.009038771E-4	-1.094491105E-3	1.279896358E-3	4.628315568E-3	1.772000000E+0
3.499969380E+1	4.104000000E+3	1.624527573E+0	6.015694235E-4	-1.093824394E-3	1.279830001E-3	4.628669936E-3	1.772000000E+0
